"","KC_C1","KC_C2","KC_C3","KC_C4","KC_C5"
"129",0,0,0,1,0
"130",0,0,0,1,0
"131",0,0,1,0,0
"132",0,0,0,0,1
"133",0,0,0,0,1
"134",0,1,0,0,0
"135",1,0,0,0,0
"136",0,1,0,0,0
"137",0,0,0,0,1
"138",0,0,0,1,0
"139",1,0,0,0,0
"140",0,0,0,0,1
"141",1,0,0,0,0
"142",1,0,0,0,0
"143",1,0,0,0,0
"144",0,0,0,0,1
"145",0,0,0,0,1
"146",1,0,0,0,0
"147",0,1,0,0,0
"148",0,0,1,0,0
"149",0,0,1,0,0
"150",0,1,0,0,0
"151",0,0,0,0,1
"152",1,0,0,0,0
"153",0,0,0,0,1
"154",0,0,0,0,1
"155",1,0,0,0,0
"156",1,0,0,0,0
"157",0,1,0,0,0
"158",0,0,1,0,0
"159",0,0,0,1,0
"160",1,0,0,0,0
"161",0,1,0,0,0
"162",0,0,0,0,1
"163",0,0,0,1,0
"164",0,0,0,1,0
"165",1,0,0,0,0
"166",0,0,0,1,0
"167",1,0,0,0,0
"168",0,0,1,0,0
"169",0,0,0,1,0
"170",0,0,1,0,0
"171",1,0,0,0,0
"172",1,0,0,0,0
"173",0,0,1,0,0
"174",0,0,1,0,0
"175",0,1,0,0,0
"176",0,0,0,0,1
"177",0,1,0,0,0
"178",0,0,1,0,0
"179",1,0,0,0,0
"180",0,0,0,1,0
"181",0,1,0,0,0
"182",0,0,1,0,0
"183",0,1,0,0,0
"184",0,0,1,0,0
"185",0,0,1,0,0
"186",0,0,0,0,1
"187",0,0,0,1,0
"188",0,0,1,0,0
"189",0,0,1,0,0
"190",0,0,1,0,0
"191",0,0,1,0,0
"192",0,0,1,0,0
"193",0,0,1,0,0
"194",0,0,0,1,0
"195",0,0,0,1,0
"196",0,0,0,1,0
"197",0,0,1,0,0
"198",0,0,0,0,1
"199",0,0,1,0,0
"200",0,0,1,0,0
"201",0,0,0,1,0
"202",0,0,1,0,0
"203",0,0,1,0,0
"204",0,0,0,1,0
"205",0,0,0,1,0
"206",0,0,0,1,0
"207",0,0,0,1,0
"208",0,0,1,0,0
"209",0,0,0,0,1
"210",0,0,0,0,1
"211",0,1,0,0,0
"212",1,0,0,0,0
"213",0,1,0,0,0
"214",0,0,0,0,1
"215",0,0,0,1,0
"216",1,0,0,0,0
"217",0,0,0,0,1
"218",1,0,0,0,0
"219",1,0,0,0,0
"220",1,0,0,0,0
"221",0,0,0,0,1
"222",0,0,0,0,1
"223",1,0,0,0,0
"224",0,1,0,0,0
"225",0,0,1,0,0
"226",0,0,1,0,0
"227",0,1,0,0,0
"228",0,0,0,0,1
"229",1,0,0,0,0
"230",0,0,0,0,1
"231",0,0,0,0,1
"232",1,0,0,0,0
"233",1,0,0,0,0
"234",0,1,0,0,0
"235",0,0,1,0,0
"236",0,0,0,1,0
"237",1,0,0,0,0
"238",0,1,0,0,0
"239",0,0,0,0,1
"240",0,0,0,1,0
"241",0,0,0,1,0
"242",1,0,0,0,0
"243",0,0,0,1,0
"244",1,0,0,0,0
"245",0,0,1,0,0
"246",0,0,0,1,0
"247",0,0,1,0,0
"248",1,0,0,0,0
"249",1,0,0,0,0
"250",0,0,1,0,0
"251",0,0,1,0,0
"252",0,1,0,0,0
"253",0,0,0,0,1
"254",0,1,0,0,0
"255",0,0,1,0,0
"256",1,0,0,0,0
"257",0,0,0,1,0
"258",0,1,0,0,0
"259",0,0,1,0,0
"260",0,1,0,0,0
"261",0,0,1,0,0
"262",0,0,1,0,0
"263",0,0,0,0,1
"264",0,0,0,1,0
"265",0,0,1,0,0
"266",0,0,1,0,0
"267",0,0,1,0,0
"268",0,0,1,0,0
"269",0,0,1,0,0
"270",0,0,1,0,0
"271",0,0,0,1,0
"272",0,0,0,1,0
"273",0,0,0,1,0
"274",0,0,1,0,0
"275",0,0,0,0,1
"276",0,0,1,0,0
"277",0,0,1,0,0
"278",0,0,0,1,0
"279",0,0,1,0,0
"280",0,0,1,0,0
"281",0,0,0,1,0
"282",0,0,0,1,0
"283",0,0,0,1,0
"284",0,0,0,1,0
"285",0,0,1,0,0
"286",0,0,0,0,1
"287",0,0,0,0,1
"288",0,1,0,0,0
"289",1,0,0,0,0
"290",0,1,0,0,0
"291",0,0,0,0,1
"292",0,0,0,1,0
"293",1,0,0,0,0
"294",0,0,0,0,1
"295",1,0,0,0,0
"296",1,0,0,0,0
"297",1,0,0,0,0
"298",0,0,0,0,1
"299",0,0,0,0,1
"300",1,0,0,0,0
"301",0,1,0,0,0
"302",0,0,1,0,0
"303",0,0,1,0,0
"304",0,1,0,0,0
"305",0,0,0,0,1
"306",1,0,0,0,0
"307",0,0,0,0,1
"308",0,0,0,0,1
"309",1,0,0,0,0
"310",1,0,0,0,0
"311",0,1,0,0,0
"312",0,0,1,0,0
"313",0,0,0,1,0
"314",1,0,0,0,0
"315",0,1,0,0,0
"316",0,0,0,0,1
"317",0,0,0,1,0
"318",0,0,0,1,0
"319",1,0,0,0,0
"320",0,0,0,1,0
"321",1,0,0,0,0
"322",0,0,1,0,0
"323",0,0,0,1,0
"324",0,0,1,0,0
"325",1,0,0,0,0
"326",1,0,0,0,0
"327",0,0,1,0,0
"328",0,0,1,0,0
"329",0,1,0,0,0
"330",0,0,0,0,1
"331",0,1,0,0,0
"332",0,0,1,0,0
"333",1,0,0,0,0
"334",0,0,0,1,0
"335",0,1,0,0,0
"336",0,0,1,0,0
"337",0,1,0,0,0
"338",0,0,1,0,0
"339",0,0,1,0,0
"340",0,0,0,0,1
"341",0,0,0,1,0
"342",0,0,1,0,0
"343",0,0,1,0,0
"344",0,0,1,0,0
"345",0,0,1,0,0
"346",0,0,1,0,0
"347",0,0,1,0,0
"348",0,0,0,1,0
"349",0,0,0,1,0
"350",0,0,0,1,0
"351",0,0,1,0,0
"352",0,0,0,0,1
"353",0,0,1,0,0
"354",0,0,1,0,0
"355",0,0,0,1,0
"356",0,0,1,0,0
"357",0,0,1,0,0
"358",0,0,0,1,0
"359",0,0,0,1,0
"360",0,0,0,1,0
"361",0,0,0,1,0
"362",0,0,1,0,0
"363",0,0,0,0,1
"364",0,0,0,0,1
"365",0,1,0,0,0
"366",1,0,0,0,0
"367",0,1,0,0,0
"368",0,0,0,0,1
"369",0,0,0,1,0
"370",1,0,0,0,0
"371",0,0,0,0,1
"372",1,0,0,0,0
"373",1,0,0,0,0
"374",1,0,0,0,0
"375",0,0,0,0,1
"376",0,0,0,0,1
"377",1,0,0,0,0
"378",0,1,0,0,0
"379",0,0,1,0,0
"380",0,0,1,0,0
"381",0,1,0,0,0
"382",0,0,0,0,1
"383",1,0,0,0,0
"384",0,0,0,0,1
"385",0,0,0,0,1
"386",1,0,0,0,0
"387",1,0,0,0,0
"388",0,1,0,0,0
"389",0,0,1,0,0
"390",0,0,0,1,0
"391",1,0,0,0,0
"392",0,1,0,0,0
"393",0,0,0,0,1
"394",0,0,0,1,0
"395",0,0,0,1,0
"396",1,0,0,0,0
"397",0,0,0,1,0
"398",1,0,0,0,0
"399",0,0,1,0,0
"400",0,0,0,1,0
"401",0,0,1,0,0
"402",1,0,0,0,0
"403",1,0,0,0,0
"404",0,0,1,0,0
"405",0,0,1,0,0
"406",0,1,0,0,0
"407",0,0,0,0,1
"408",0,1,0,0,0
"409",0,0,1,0,0
"410",1,0,0,0,0
"411",0,0,0,1,0
"412",0,1,0,0,0
"413",0,0,1,0,0
"414",0,1,0,0,0
"415",0,0,1,0,0
"416",0,0,1,0,0
"417",0,0,0,0,1
"418",0,0,0,1,0
"419",0,0,1,0,0
"420",0,0,1,0,0
"421",0,0,1,0,0
"422",0,0,1,0,0
"423",0,0,1,0,0
"424",0,0,1,0,0
"425",0,0,0,1,0
"426",0,0,0,1,0
"427",0,0,0,1,0
"428",0,0,1,0,0
"429",0,0,0,0,1
"430",0,0,1,0,0
"431",0,0,1,0,0
"432",0,0,0,1,0
"433",0,0,1,0,0
"434",0,0,1,0,0
"435",0,0,0,1,0
"436",0,0,0,1,0
"437",0,0,0,1,0
"438",0,0,0,1,0
"439",0,0,1,0,0
"440",0,0,0,0,1
"441",0,0,0,0,1
"442",0,1,0,0,0
"443",1,0,0,0,0
"444",0,1,0,0,0
"445",0,0,0,0,1
"446",0,0,0,1,0
"447",1,0,0,0,0
"448",0,0,0,0,1
"449",1,0,0,0,0
"450",1,0,0,0,0
"451",1,0,0,0,0
"452",0,0,0,0,1
"453",0,0,0,0,1
"454",1,0,0,0,0
"455",0,1,0,0,0
"456",0,0,1,0,0
"457",0,0,1,0,0
"458",0,1,0,0,0
"459",0,0,0,0,1
"460",1,0,0,0,0
"461",0,0,0,0,1
"462",0,0,0,0,1
"463",1,0,0,0,0
"464",1,0,0,0,0
"465",0,1,0,0,0
"466",0,0,1,0,0
"467",0,0,0,1,0
"468",1,0,0,0,0
"469",0,1,0,0,0
"470",0,0,0,0,1
"471",0,0,0,1,0
"472",0,0,0,1,0
"473",1,0,0,0,0
"474",0,0,0,1,0
"475",1,0,0,0,0
"476",0,0,1,0,0
"477",0,0,0,1,0
"478",0,0,1,0,0
"479",1,0,0,0,0
"480",1,0,0,0,0
"481",0,0,1,0,0
"482",0,0,1,0,0
"483",0,1,0,0,0
"484",0,0,0,0,1
"485",0,1,0,0,0
"486",0,0,1,0,0
"487",1,0,0,0,0
"488",0,0,0,1,0
"489",0,1,0,0,0
"490",0,0,1,0,0
"491",0,1,0,0,0
"492",0,0,1,0,0
"493",0,0,1,0,0
"494",0,0,0,0,1
"495",0,0,0,1,0
"496",0,0,1,0,0
"497",0,0,1,0,0
"498",0,0,1,0,0
"499",0,0,1,0,0
"500",0,0,1,0,0
"501",0,0,1,0,0
"502",0,0,0,1,0
"503",0,0,0,1,0
"504",0,0,0,1,0
"505",0,0,1,0,0
"506",0,0,0,0,1
"507",0,0,1,0,0
"508",0,0,1,0,0
"509",0,0,0,1,0
"510",0,0,1,0,0
"511",0,0,1,0,0
"512",0,0,0,1,0
"513",0,0,0,1,0
"514",0,0,0,1,0
"515",0,0,0,1,0
"516",0,0,1,0,0
"517",0,0,0,0,1
"518",0,0,0,0,1
"519",0,1,0,0,0
"520",1,0,0,0,0
"521",0,1,0,0,0
"522",0,0,0,0,1
"523",0,0,0,1,0
"524",1,0,0,0,0
"525",0,0,0,0,1
"526",1,0,0,0,0
"527",1,0,0,0,0
"528",1,0,0,0,0
"529",0,0,0,0,1
"530",0,0,0,0,1
"531",1,0,0,0,0
"532",0,1,0,0,0
"533",0,0,1,0,0
"534",0,0,1,0,0
"535",0,1,0,0,0
"536",0,0,0,0,1
"537",1,0,0,0,0
"538",0,0,0,0,1
"539",0,0,0,0,1
"540",1,0,0,0,0
"541",1,0,0,0,0
"542",0,1,0,0,0
"543",0,0,1,0,0
"544",0,0,0,1,0
"545",1,0,0,0,0
"546",0,1,0,0,0
"547",0,0,0,0,1
"548",0,0,0,1,0
"549",0,0,0,1,0
"550",1,0,0,0,0
"551",0,0,0,1,0
"552",1,0,0,0,0
"553",0,0,1,0,0
"554",0,0,0,1,0
"555",0,0,1,0,0
"556",1,0,0,0,0
"557",1,0,0,0,0
"558",0,0,1,0,0
"559",0,0,1,0,0
"560",0,1,0,0,0
"561",0,0,0,0,1
"562",0,1,0,0,0
"563",0,0,1,0,0
"564",1,0,0,0,0
"565",0,0,0,1,0
"566",0,1,0,0,0
"567",0,0,1,0,0
"568",0,1,0,0,0
"569",0,0,1,0,0
"570",0,0,1,0,0
"571",0,0,0,0,1
"572",0,0,0,1,0
"573",0,0,1,0,0
"574",0,0,1,0,0
"575",0,0,1,0,0
"576",0,0,1,0,0
"577",0,0,1,0,0
"578",0,0,1,0,0
"579",0,0,0,1,0
"580",0,0,0,1,0
"581",0,0,0,1,0
"582",0,0,1,0,0
"583",0,0,0,0,1
"584",0,0,1,0,0
"585",0,0,1,0,0
"586",0,0,0,1,0
"587",0,0,1,0,0
"588",0,0,1,0,0
"589",0,0,0,1,0
"590",0,0,0,1,0
"591",0,0,0,1,0
"592",0,0,0,1,0
"593",0,0,1,0,0
"594",0,0,0,0,1
"595",0,0,0,0,1
"596",0,1,0,0,0
"597",1,0,0,0,0
"598",0,1,0,0,0
"599",0,0,0,0,1
"600",0,0,0,1,0
"601",1,0,0,0,0
"602",0,0,0,0,1
"603",1,0,0,0,0
"604",1,0,0,0,0
"605",1,0,0,0,0
"606",0,0,0,0,1
"607",0,0,0,0,1
"608",1,0,0,0,0
"609",0,1,0,0,0
"610",0,0,1,0,0
"611",0,0,1,0,0
"612",0,1,0,0,0
"613",0,0,0,0,1
"614",1,0,0,0,0
"615",0,0,0,0,1
"616",0,0,0,0,1
"617",1,0,0,0,0
"618",1,0,0,0,0
"619",0,1,0,0,0
"620",0,0,1,0,0
"621",0,0,0,1,0
"622",1,0,0,0,0
"623",0,1,0,0,0
"624",0,0,0,0,1
"625",0,0,0,1,0
"626",0,0,0,1,0
"627",1,0,0,0,0
"628",0,0,0,1,0
"629",1,0,0,0,0
"630",0,0,1,0,0
"631",0,0,0,1,0
"632",0,0,1,0,0
"633",1,0,0,0,0
"634",1,0,0,0,0
"635",0,0,1,0,0
"636",0,0,1,0,0
"637",0,1,0,0,0
"638",0,0,0,0,1
"639",0,1,0,0,0
"640",0,0,1,0,0
"641",1,0,0,0,0
"642",0,0,0,1,0
"643",0,1,0,0,0
"644",0,0,1,0,0
"645",0,1,0,0,0
"646",0,0,1,0,0
"647",0,0,1,0,0
"648",0,0,0,0,1
"649",0,0,0,1,0
"650",0,0,1,0,0
"651",0,0,1,0,0
"652",0,0,1,0,0
"653",0,0,1,0,0
"654",0,0,1,0,0
"655",0,0,1,0,0
"656",0,0,0,1,0
"657",0,0,0,1,0
"658",0,0,0,1,0
"659",0,0,1,0,0
"660",0,0,0,0,1
"661",0,0,1,0,0
"662",0,0,1,0,0
"663",0,0,0,1,0
"664",0,0,1,0,0
"665",0,0,1,0,0
"666",0,0,0,1,0
"667",0,0,0,1,0
"668",0,0,0,1,0
"669",0,0,0,1,0
"670",0,0,1,0,0
"671",0,0,0,0,1
"672",0,0,0,0,1
"673",0,1,0,0,0
"674",1,0,0,0,0
"675",0,1,0,0,0
"676",0,0,0,0,1
"677",0,0,0,1,0
"678",1,0,0,0,0
"679",0,0,0,0,1
"680",1,0,0,0,0
"681",1,0,0,0,0
"682",1,0,0,0,0
"683",0,0,0,0,1
"684",0,0,0,0,1
"685",1,0,0,0,0
"686",0,1,0,0,0
"687",0,0,1,0,0
"688",0,0,1,0,0
"689",0,1,0,0,0
"690",0,0,0,0,1
"691",1,0,0,0,0
"692",0,0,0,0,1
"693",0,0,0,0,1
"694",1,0,0,0,0
"695",1,0,0,0,0
"696",0,1,0,0,0
"697",0,0,1,0,0
"698",0,0,0,1,0
"699",1,0,0,0,0
"700",0,1,0,0,0
"701",0,0,0,0,1
"702",0,0,0,1,0
"703",0,0,0,1,0
"704",1,0,0,0,0
"705",0,0,0,1,0
"706",1,0,0,0,0
"707",0,0,1,0,0
"708",0,0,0,1,0
"709",0,0,1,0,0
"710",1,0,0,0,0
"711",1,0,0,0,0
"712",0,0,1,0,0
"713",0,0,1,0,0
"714",0,1,0,0,0
"715",0,0,0,0,1
"716",0,1,0,0,0
"717",0,0,1,0,0
"718",1,0,0,0,0
"719",0,0,0,1,0
"720",0,1,0,0,0
"721",0,0,1,0,0
"722",0,1,0,0,0
"723",0,0,1,0,0
"724",0,0,1,0,0
"725",0,0,0,0,1
"726",0,0,0,1,0
"727",0,0,1,0,0
"728",0,0,1,0,0
"729",0,0,1,0,0
"730",0,0,1,0,0
"731",0,0,1,0,0
"732",0,0,1,0,0
"733",0,0,0,1,0
"734",0,0,0,1,0
"735",0,0,0,1,0
"736",0,0,1,0,0
"737",0,0,0,0,1
"738",0,0,1,0,0
"739",0,0,1,0,0
"740",0,0,0,1,0
"741",0,0,1,0,0
"742",0,0,1,0,0
"743",0,0,0,1,0
"744",0,0,0,1,0
"745",0,0,0,1,0
"746",0,0,0,1,0
"747",0,0,1,0,0
"748",0,0,0,0,1
"749",0,0,0,0,1
"750",0,1,0,0,0
"751",1,0,0,0,0
"752",0,1,0,0,0
"753",0,0,0,0,1
"754",0,0,0,1,0
"755",1,0,0,0,0
"756",0,0,0,0,1
"757",1,0,0,0,0
"758",1,0,0,0,0
"759",1,0,0,0,0
"760",0,0,0,0,1
"761",0,0,0,0,1
"762",1,0,0,0,0
"763",0,1,0,0,0
"764",0,0,1,0,0
"765",0,0,1,0,0
"766",0,1,0,0,0
"767",0,0,0,0,1
"768",1,0,0,0,0
"769",0,0,0,0,1
"770",0,0,0,0,1
"771",1,0,0,0,0
"772",1,0,0,0,0
"773",0,1,0,0,0
"774",0,0,1,0,0
"775",0,0,0,1,0
"776",1,0,0,0,0
"777",0,1,0,0,0
"778",0,0,0,0,1
"779",0,0,0,1,0
"780",0,0,0,1,0
"781",1,0,0,0,0
"782",0,0,0,1,0
"783",1,0,0,0,0
"784",0,0,1,0,0
"785",0,0,0,1,0
"786",0,0,1,0,0
"787",1,0,0,0,0
"788",1,0,0,0,0
"789",0,0,1,0,0
"790",0,0,1,0,0
"791",0,1,0,0,0
"792",0,0,0,0,1
"793",0,1,0,0,0
"794",0,0,1,0,0
"795",1,0,0,0,0
"796",0,0,0,1,0
"797",0,1,0,0,0
"798",0,0,1,0,0
"799",0,1,0,0,0
"800",0,0,1,0,0
"801",0,0,1,0,0
"802",0,0,0,0,1
"803",0,0,0,1,0
"804",0,0,1,0,0
"805",0,0,1,0,0
"806",0,0,1,0,0
"807",0,0,1,0,0
"808",0,0,1,0,0
"809",0,0,1,0,0
"810",0,0,0,1,0
"811",0,0,0,1,0
"812",0,0,0,1,0
"813",0,0,1,0,0
"814",0,0,0,0,1
"815",0,0,1,0,0
"816",0,0,1,0,0
"817",0,0,0,1,0
"818",0,0,1,0,0
"819",0,0,1,0,0
"820",0,0,0,1,0
"821",0,0,0,1,0
"822",0,0,0,1,0
"823",0,0,0,1,0
"824",0,0,1,0,0
"825",0,0,0,0,1
"826",0,0,0,0,1
"827",0,1,0,0,0
"828",1,0,0,0,0
"829",0,1,0,0,0
"830",0,0,0,0,1
"831",0,0,0,1,0
"832",1,0,0,0,0
"833",0,0,0,0,1
"834",1,0,0,0,0
"835",1,0,0,0,0
"836",1,0,0,0,0
"837",0,0,0,0,1
"838",0,0,0,0,1
"839",1,0,0,0,0
"840",0,1,0,0,0
"841",0,0,1,0,0
"842",0,0,1,0,0
"843",0,1,0,0,0
"844",0,0,0,0,1
"845",1,0,0,0,0
"846",0,0,0,0,1
"847",0,0,0,0,1
"848",1,0,0,0,0
"849",1,0,0,0,0
"850",0,1,0,0,0
"851",0,0,1,0,0
"852",0,0,0,1,0
"853",1,0,0,0,0
"854",0,1,0,0,0
"855",0,0,0,0,1
"856",0,0,0,1,0
"857",0,0,0,1,0
"858",1,0,0,0,0
"859",0,0,0,1,0
"860",1,0,0,0,0
"861",0,0,1,0,0
"862",0,0,0,1,0
"863",0,0,1,0,0
"864",1,0,0,0,0
"865",1,0,0,0,0
"866",0,0,1,0,0
"867",0,0,1,0,0
"868",0,1,0,0,0
"869",0,0,0,0,1
"870",0,1,0,0,0
"871",0,0,1,0,0
"872",1,0,0,0,0
"873",0,0,0,1,0
"874",0,1,0,0,0
"875",0,0,1,0,0
"876",0,1,0,0,0
"877",0,0,1,0,0
"878",0,0,1,0,0
"879",0,0,0,0,1
"880",0,0,0,1,0
"881",0,0,1,0,0
"882",0,0,1,0,0
"883",0,0,1,0,0
"884",0,0,1,0,0
"885",0,0,1,0,0
"886",0,0,1,0,0
"887",0,0,0,1,0
"888",0,0,0,1,0
"889",0,0,0,1,0
"890",0,0,1,0,0
"891",0,0,0,0,1
"892",0,0,1,0,0
"893",0,0,1,0,0
"894",0,0,0,1,0
"895",0,0,1,0,0
"896",0,0,1,0,0
"897",0,0,0,1,0
"898",0,0,0,1,0
"899",0,0,0,1,0
"900",0,0,0,1,0
"901",0,0,1,0,0
"902",0,0,0,0,1
"903",0,0,0,0,1
"904",0,1,0,0,0
"905",1,0,0,0,0
"906",0,1,0,0,0
"907",0,0,0,0,1
"908",0,0,0,1,0
"909",1,0,0,0,0
"910",0,0,0,0,1
"911",1,0,0,0,0
"912",1,0,0,0,0
"913",1,0,0,0,0
"914",0,0,0,0,1
"915",0,0,0,0,1
"916",1,0,0,0,0
"917",0,1,0,0,0
"918",0,0,1,0,0
"919",0,0,1,0,0
"920",0,1,0,0,0
"921",0,0,0,0,1
"922",1,0,0,0,0
"923",0,0,0,0,1
"924",0,0,0,0,1
"925",1,0,0,0,0
"926",1,0,0,0,0
"927",0,1,0,0,0
"928",0,0,1,0,0
"929",0,0,0,1,0
"930",1,0,0,0,0
"931",0,1,0,0,0
"932",0,0,0,0,1
"933",0,0,0,1,0
"934",0,0,0,1,0
"935",1,0,0,0,0
"936",0,0,0,1,0
"937",1,0,0,0,0
"938",0,0,1,0,0
"939",0,0,0,1,0
"940",0,0,1,0,0
"941",1,0,0,0,0
"942",1,0,0,0,0
"943",0,0,1,0,0
"944",0,0,1,0,0
"945",0,1,0,0,0
"946",0,0,0,0,1
"947",0,1,0,0,0
"948",0,0,1,0,0
"949",1,0,0,0,0
"950",0,0,0,1,0
"951",0,1,0,0,0
"952",0,0,1,0,0
"953",0,1,0,0,0
"954",0,0,1,0,0
"955",0,0,1,0,0
"956",0,0,0,0,1
"957",0,0,0,1,0
"958",0,0,1,0,0
"959",0,0,1,0,0
"960",0,0,1,0,0
"961",0,0,1,0,0
"962",0,0,1,0,0
"963",0,0,1,0,0
"964",0,0,0,1,0
"965",0,0,0,1,0
"966",0,0,0,1,0
"967",0,0,1,0,0
"968",0,0,0,0,1
"969",0,0,1,0,0
"970",0,0,1,0,0
"971",0,0,0,1,0
"972",0,0,1,0,0
"973",0,0,1,0,0
"974",0,0,0,1,0
"975",0,0,0,1,0
"976",0,0,0,1,0
"977",0,0,0,1,0
"978",0,0,1,0,0
"979",0,0,0,0,1
"980",0,0,0,0,1
"981",0,1,0,0,0
"982",1,0,0,0,0
"983",0,1,0,0,0
"984",0,0,0,0,1
"985",0,0,0,1,0
"986",1,0,0,0,0
"987",0,0,0,0,1
"988",1,0,0,0,0
"989",1,0,0,0,0
"990",1,0,0,0,0
"991",0,0,0,0,1
"992",0,0,0,0,1
"993",1,0,0,0,0
"994",0,1,0,0,0
"995",0,0,1,0,0
"996",0,0,1,0,0
"997",0,1,0,0,0
"998",0,0,0,0,1
"999",1,0,0,0,0
"1000",0,0,0,0,1
"1001",0,0,0,0,1
"1002",1,0,0,0,0
"1003",1,0,0,0,0
"1004",0,1,0,0,0
"1005",0,0,1,0,0
"1006",0,0,0,1,0
"1007",1,0,0,0,0
"1008",0,1,0,0,0
"1009",0,0,0,0,1
"1010",0,0,0,1,0
"1011",0,0,0,1,0
"1012",1,0,0,0,0
"1013",0,0,0,1,0
"1014",1,0,0,0,0
"1015",0,0,1,0,0
"1016",0,0,0,1,0
"1017",0,0,1,0,0
"1018",1,0,0,0,0
"1019",1,0,0,0,0
"1020",0,0,1,0,0
"1021",0,0,1,0,0
"1022",0,1,0,0,0
"1023",0,0,0,0,1
"1024",0,1,0,0,0
"1025",0,0,1,0,0
"1026",1,0,0,0,0
"1027",0,0,0,1,0
"1028",0,1,0,0,0
"1029",0,0,1,0,0
"1030",0,1,0,0,0
"1031",0,0,1,0,0
"1032",0,0,1,0,0
"1033",0,0,0,0,1
"1034",0,0,0,1,0
"1035",0,0,1,0,0
"1036",0,0,1,0,0
"1037",0,0,1,0,0
"1038",0,0,1,0,0
"1039",0,0,1,0,0
"1040",0,0,1,0,0
"1041",0,0,0,1,0
"1042",0,0,0,1,0
"1043",0,0,0,1,0
"1044",0,0,1,0,0
"1045",0,0,0,0,1
"1046",0,0,1,0,0
"1047",0,0,1,0,0
"1048",0,0,0,1,0
"1049",0,0,1,0,0
"1050",0,0,1,0,0
"1051",0,0,0,1,0
"1052",0,0,0,1,0
"1053",0,0,0,1,0
"1054",0,0,0,1,0
"1055",0,0,1,0,0
"1056",0,0,0,0,1
"1057",0,0,0,0,1
"1058",0,1,0,0,0
"1059",1,0,0,0,0
"1060",0,1,0,0,0
"1061",0,0,0,0,1
"1062",0,0,0,1,0
"1063",1,0,0,0,0
"1064",0,0,0,0,1
"1065",1,0,0,0,0
"1066",1,0,0,0,0
