row,anon_student_id,problem_hierarchy,problem_name,problem_view,step_name,step_start_time,first_transaction_time,correct_transaction_time,step_end_time,step_duration,correct_step_duration,error_step_duration,correct_first_attempt,incorrects,hints,corrects,KC,opportunity
215302,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",L3NOV10C,1,R7C1,26:06.0,26:08.0,26:08.0,26:08.0,2,2,,1,0,0,1,"Using simple numbers~~Using large numbers~~Find X, positive slope","32~~4~~4"
215570,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T10C,1,R2C1,59:10.0,59:17.0,59:17.0,59:17.0,7,7,,1,0,0,1,Identifying units,"20"
215303,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",L3NOV10C,1,R3C1,26:08.0,26:16.0,26:16.0,26:16.0,8,8,,1,0,0,1,Define Variable,"6"
216068,t0fI2c7EMH,"Unit ES_02, Section ES_02-7",EG41,6,#NAME?,25:01.0,25:07.0,25:07.0,25:07.0,6,6,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],"45"
215821,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T10B,1,R7C2,38:11.0,38:17.0,38:17.0,38:17.0,6,6,,1,0,0,1,Entering a given,"104"
215866,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",DEC01C,1,R6C2,45:55.0,46:06.0,46:06.0,46:06.0,11,11,,1,0,0,1,Entering a given,"119"
215836,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T31B,2,R7C1,42:01.0,42:11.0,42:11.0,42:11.0,10,10,,1,0,0,1,"Using simple numbers~~Using large numbers~~Find X, positive slope","70~~34~~20"
215596,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",PERCENT01A,1,R3C2,04:34.0,04:38.0,04:38.0,04:38.0,4,4,,1,0,0,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers","43~~12~~10"
215397,t0fI2c7EMH,"Unit ES_01, Section ES_01-2",EG3,1,FinalAnswer,50:03.0,50:07.0,50:07.0,50:15.0,6,6,,1,0,0,2,perform-mult-sp~~combine-like-terms-whole-sp,"2~~2"
215753,t0fI2c7EMH,"Unit ES_02, Section ES_02-9",EG44,2,2/x = -10,41:55.0,42:04.0,42:04.0,42:04.0,9,9,,1,0,0,1,"[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}]","2"
215854,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",BH1T41,1,R6C2,44:34.0,44:37.0,44:37.0,44:37.0,3,3,,1,0,0,1,Entering a given,"115"
215459,t0fI2c7EMH,"Unit ES_01, Section ES_01-5",EG14A,1,27*32-39.4 = x,38:41.0,38:46.0,38:46.0,38:46.0,5,5,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","14"
215637,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",L2FB15A,1,R7C1,09:52.0,09:58.0,09:58.0,09:58.0,6,6,,1,0,0,1,"Using small numbers~~Find X, positive slope~~Using difficult numbers","54~~15~~21"
215253,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",REAL17C,1,YLabel,17:37.0,17:44.0,17:44.0,17:44.0,7,7,,1,0,0,1,Labelling the axes,"7"
215577,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T10C,1,R6C2,59:52.0,00:11.0,00:11.0,00:11.0,19,19,,1,0,0,1,Entering a given,"59"
216113,t0fI2c7EMH,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE1TRE,1,R3C3,33:57.0,34:06.0,34:06.0,34:06.0,9,9,,1,0,0,1,"Using simple numbers~~Using small numbers~~Write expression, quadratic","75~~95~~1"
215236,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,yMax,13:39.0,13:44.0,13:44.0,13:44.0,5,5,,1,0,0,1,Changing axis bounds,"6"
215199,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-1",LDEMO_GRPH,2,R3C1,07:02.0,07:05.0,07:05.0,07:05.0,3,3,,1,0,0,1,Define Variable,"1"
215773,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-1",LDEMO_WSLVR,2,R2C2,24:49.0,24:51.0,24:51.0,24:51.0,2,2,,1,0,0,1,Identifying units,"34"
215874,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",PERCENT14B,1,R3C1,47:01.0,47:03.0,47:03.0,47:03.0,2,2,,1,0,0,1,Define Variable,"30"
215680,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG31,1,2(8-9),16:35.0,16:37.0,16:37.0,16:37.0,2,2,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","11~~20"
215432,t0fI2c7EMH,"Unit ES_01, Section ES_01-4",EG8B,1,FinalAnswer,54:14.0,54:20.0,54:20.0,54:31.0,13,13,,1,0,0,2,perform-mult-sp~~combine-like-terms-whole-sp,"7~~6"
216043,t0fI2c7EMH,"Unit ES_02, Section ES_02-6",EG40,4,FinalAnswer,22:05.0,22:08.0,22:08.0,22:16.0,8,8,,1,0,0,2,combine-like-terms-sp,"12"
215448,t0fI2c7EMH,"Unit ES_01, Section ES_01-4",EG5,1,x = 7+4*10,37:29.0,37:34.0,37:34.0,37:34.0,5,5,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","12"
215308,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-4",BH1T29C,1,R2C1,27:05.0,27:07.0,27:07.0,27:07.0,2,2,,1,0,0,1,Identifying units,"11"
215241,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,R8C2,14:46.0,14:58.0,14:58.0,14:58.0,12,12,,1,0,0,1,"Using simple numbers~~Using small numbers~~Find Y, positive slope","16~~16~~4"
215189,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-1",LDEMO_GRPH,2,xMax,04:51.0,05:06.0,05:06.0,05:06.0,15,15,,1,0,0,1,Changing axis bounds,"1"
215763,t0fI2c7EMH,"Unit ES_02, Section ES_02-10",EG44,2,1 = 2/x,43:25.0,43:36.0,43:36.0,43:36.0,11,11,,1,0,0,1,"[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}]","5"
215706,t0fI2c7EMH,"Unit ES_02, Section ES_02-6",EG40,1,-9y = -7,26:18.0,26:26.0,26:26.0,26:26.0,8,8,,1,0,0,1,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]","21~~14"
215804,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",REAL13B,1,R3C1,35:51.0,35:56.0,35:56.0,35:56.0,5,5,,1,0,0,1,Define Variable,"24"
216016,t0fI2c7EMH,"Unit ES_02, Section ES_02-4",EG35A,2,y = 19(-50-36),19:05.0,19:13.0,19:13.0,19:13.0,8,8,,1,0,0,1,"[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","46"
216020,t0fI2c7EMH,"Unit ES_02, Section ES_02-4",EG34A,3,FinalAnswer,19:40.0,19:46.0,19:46.0,19:50.0,7,7,,1,0,0,2,perform-mult-sp~~combine-like-terms-whole-sp,"34~~29"
215224,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,R2C2,11:37.0,11:41.0,11:41.0,11:41.0,4,4,,1,0,0,1,Identifying units,"5"
215959,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG30,4,(-7-3)*-6,10:58.0,11:06.0,11:06.0,11:06.0,8,8,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","20~~29"
215304,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",L3NOV10C,1,R3C2,26:16.0,26:21.0,26:21.0,26:21.0,5,5,,1,0,0,1,"Using simple numbers~~Write expression, positive slope~~Using large numbers","33~~6~~5"
215218,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T23,1,R7C2,09:54.0,10:30.0,10:30.0,10:44.0,37,37,,1,1,0,1,Entering a given,"9"
215574,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T10C,1,R3C2,59:32.0,59:37.0,59:37.0,59:37.0,5,5,,1,0,0,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers","40~~10~~7"
215876,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",PERCENT14B,1,R6C2,47:08.0,47:13.0,47:13.0,47:13.0,5,5,,1,0,0,1,Entering a given,"121"
215265,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",BH1T39A,1,YLabel,19:31.0,19:35.0,19:35.0,19:35.0,4,4,,1,0,0,1,Labelling the axes,"9"
215568,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",REAL13A,1,R7C1,58:45.0,58:54.0,58:54.0,58:54.0,9,9,,1,0,0,1,"Using simple numbers~~Using large numbers~~Find X, positive slope","57~~24~~7"
215809,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",REAL13B,1,R7C2,36:43.0,36:50.0,36:50.0,36:50.0,7,7,,1,0,0,1,Entering a given,"100"
215853,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",BH1T41,1,R5C1,44:30.0,44:34.0,44:34.0,44:34.0,4,4,,1,0,0,1,Entering a given,"114"
215707,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",BH1T41C,1,R7C2,06:32.0,06:40.0,06:40.0,06:40.0,8,8,,1,0,0,1,Entering a given,"72"
215247,t0fI2c7EMH,"Unit ES_02, Section ES_02-6",EG40,1,-9y/-9 = -7/-9,26:26.0,26:30.0,26:30.0,26:33.0,7,7,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],"4"
215609,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",REAL17C,1,R4C1,16:05.0,16:20.0,16:27.0,16:27.0,22,,22,0,1,0,1,Entering a given,"15"
215941,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",BH1T41C,1,R5C1,05:58.0,06:01.0,06:01.0,06:01.0,3,3,,1,0,0,1,Entering a given,"70"
215964,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG30,2,(-9+3)*-7,05:55.0,06:01.0,06:01.0,06:01.0,6,6,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","17~~26"
215693,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG29,2,4+3,11:33.0,11:37.0,11:37.0,11:37.0,4,4,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],"32"
215339,t0fI2c7EMH,"Unit ES_02, Section ES_02-5",EG40,2,6y-3+3 = -5+3,43:04.0,43:08.0,43:08.0,43:08.0,4,4,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],"14"
215240,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-4",REAL19B,1,xMax,32:59.0,33:04.0,33:04.0,33:04.0,5,5,,1,0,0,1,Changing axis bounds,"14"
215536,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,R8C1,14:39.0,14:46.0,14:46.0,14:46.0,7,7,,1,0,0,1,Entering a given,"14"
215584,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-1",LDEMO_WSLVR,1,R3C2,53:06.0,53:18.0,53:18.0,53:18.0,12,12,,1,0,0,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers","34~~7~~1"
216050,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T31B,1,R2C2,02:17.0,02:19.0,02:19.0,02:19.0,2,2,,1,0,0,1,Identifying units,"23"
215399,t0fI2c7EMH,"Unit ES_02, Section ES_02-6",EG40,5,-4/-7 = -7y/-7,23:04.0,23:07.0,23:07.0,23:11.0,7,7,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],"15"
215681,t0fI2c7EMH,"Unit ES_01, Section ES_01-2",EG1,1,6+1*3,50:18.0,50:23.0,50:23.0,50:23.0,5,5,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","4"
215946,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG31,1,FinalAnswer,16:37.0,16:41.0,16:58.0,17:04.0,23,,23,0,3,1,2,perform-mult-sp~~combine-like-terms-whole-sp,"13~~8"
215739,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG29,1,-18,06:46.0,06:50.0,06:50.0,06:50.0,4,4,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],"29"
215465,t0fI2c7EMH,"Unit ES_02, Section ES_02-8",EG41,1,#NAME?,40:21.0,40:24.0,40:24.0,40:27.0,6,6,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],"7"
215217,t0fI2c7EMH,"Unit ES_01, Section ES_01-5",EG13,1,x = 9-5.9*10,39:11.0,39:16.0,39:16.0,39:16.0,5,5,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","16"
215755,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T23,1,yScale,09:51.0,09:54.0,09:54.0,09:54.0,3,3,,1,0,0,1,Changing axis intervals,"3"
215264,t0fI2c7EMH,"Unit ES_02, Section ES_02-9",EG44,2,2 = -10x,42:08.0,42:14.0,42:14.0,42:14.0,6,6,,1,0,0,1,"[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]","31~~22"
215608,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",BH1T39A,1,R2C2,19:30.0,19:31.0,19:31.0,19:31.0,1,1,,1,0,0,1,Identifying units,"8"
215944,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",BH1T41C,1,R4C1,05:52.0,05:58.0,05:58.0,05:58.0,6,6,,1,0,0,1,Entering a given,"69"
215422,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG29,1,-18,06:26.0,06:36.0,06:36.0,06:36.0,10,10,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","23"
215342,t0fI2c7EMH,"Unit ES_01, Section ES_01-3",EG7,1,(2+6)*3 = y,52:19.0,52:24.0,52:24.0,52:24.0,5,5,,1,0,0,1,"[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","10"
215561,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-4",REAL19B,1,R7C1,33:16.0,33:48.0,33:48.0,34:26.0,37,37,,1,0,0,2,Entering a given,"36"
216107,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",REAL13A,1,R3C1,57:20.0,57:39.0,57:39.0,57:39.0,19,19,,1,0,0,1,Define Variable,"13"
216028,t0fI2c7EMH,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE1TRE,1,R3C1,33:29.0,33:32.0,33:32.0,33:32.0,3,3,,1,0,0,1,Define Variable,"34"
215779,t0fI2c7EMH,"Unit ES_02, Section ES_02-5",EG40,5,1+3y = -8,20:27.0,20:33.0,20:33.0,20:33.0,6,6,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]","29"
215283,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-1",LDEMO_WSLVR,2,R3C2,27:32.0,28:09.0,28:09.0,28:09.0,37,37,,1,0,0,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers","63~~16~~27"
215799,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",BH1T39A,1,R3C1,22:34.0,22:37.0,22:37.0,22:37.0,3,3,,1,0,0,1,Define Variable,"5"
216031,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-2",BH1T36C,1,R7C2,34:47.0,34:59.0,35:08.0,35:08.0,21,,21,0,2,0,1,Entering a given,"96"
215293,t0fI2c7EMH,"Unit ES_02, Section ES_02-5",EG40,5,3y = -9,20:41.0,20:47.0,20:47.0,20:47.0,6,6,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]","14~~37"
215893,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",L3NOV10C,1,R6C2,24:11.0,24:20.0,24:20.0,24:20.0,9,9,,1,0,0,1,"Using simple numbers~~Using large numbers~~Find Y, positive slope","31~~3~~14"
215225,t0fI2c7EMH,"Unit CTA1_04, Section CTA1_04-3",L2FB15B,1,R6C1,50:02.0,50:18.0,50:18.0,50:18.0,16,16,,1,0,0,1,"Using small numbers~~Find X, positive slope~~Using difficult numbers","86~~27~~50"
215387,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-2",BH1T35,1,R2C1,11:41.0,11:44.0,11:44.0,11:44.0,3,3,,1,0,0,1,Identifying units,"6"
216126,t0fI2c7EMH,"Unit ES_01, Section ES_01-1",EG2,1,4+9*4,48:58.0,49:02.0,49:02.0,49:02.0,4,4,,1,0,0,1,"[SkillRule: Select Multiply/Divide, nested; {MT; MT no fraction coeff}]","2"
215937,t0fI2c7EMH,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE1TRE,1,YLabel,35:32.0,35:39.0,35:39.0,35:39.0,7,7,,1,0,0,1,Labelling the axes,"21"
215919,t0fI2c7EMH,"Unit ES_02, Section ES_02-2",EG31,2,-7(-9-7),05:00.0,05:05.0,05:05.0,05:05.0,5,5,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Select Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; Distribute subex}]","16~~25"
215294,t0fI2c7EMH,"Unit ES_02, Section ES_02-1",EG2-FIXED,2,2y-3 = 5,03:08.0,03:15.0,03:15.0,03:15.0,7,7,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]","27~~5"
215747,t0fI2c7EMH,"Unit CTA1_02, Section CTA1_02-3",L3NOV10C,1,YLabel,24:20.0,24:25.0,24:25.0,24:25.0,5,5,,1,0,0,1,Labelling the axes,"11"
215711,t0fI2c7EMH,"Unit ES_02, Section ES_02-8",EG41,3,#NAME?,41:14.0,41:17.0,41:17.0,41:18.0,4,4,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],"9"
215457,t0fI2c7EMH,"Unit ES_02, Section ES_02-6",EG40,2,6x+4-4 = 2-4,27:36.0,27:40.0,27:40.0,27:43.0,7,7,,1,0,0,2,"[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]","5"
