"","PH_C1","PH_C2","PH_C3","PH_C4","PH_C5"
"129",0,0,0,0,1
"130",1,0,0,0,0
"131",1,0,0,0,0
"132",1,0,0,0,0
"133",1,0,0,0,0
"134",0,1,0,0,0
"135",0,1,0,0,0
"136",1,0,0,0,0
"137",0,1,0,0,0
"138",1,0,0,0,0
"139",0,1,0,0,0
"140",1,0,0,0,0
"141",0,1,0,0,0
"142",1,0,0,0,0
"143",0,1,0,0,0
"144",1,0,0,0,0
"145",1,0,0,0,0
"146",0,0,1,0,0
"147",0,1,0,0,0
"148",1,0,0,0,0
"149",1,0,0,0,0
"150",1,0,0,0,0
"151",1,0,0,0,0
"152",1,0,0,0,0
"153",1,0,0,0,0
"154",0,1,0,0,0
"155",0,1,0,0,0
"156",0,1,0,0,0
"157",0,1,0,0,0
"158",0,0,0,1,0
"159",0,0,0,1,0
"160",0,0,0,1,0
"161",0,0,0,0,1
"162",0,1,0,0,0
"163",0,1,0,0,0
"164",0,1,0,0,0
"165",0,1,0,0,0
"166",1,0,0,0,0
"167",1,0,0,0,0
"168",1,0,0,0,0
"169",1,0,0,0,0
"170",1,0,0,0,0
"171",0,0,0,0,1
"172",1,0,0,0,0
"173",1,0,0,0,0
"174",1,0,0,0,0
"175",0,0,0,0,1
"176",1,0,0,0,0
"177",1,0,0,0,0
"178",1,0,0,0,0
"179",1,0,0,0,0
"180",0,0,0,0,1
"181",1,0,0,0,0
"182",0,0,0,0,1
"183",0,0,0,0,1
"184",0,0,0,0,1
"185",1,0,0,0,0
"186",1,0,0,0,0
"187",1,0,0,0,0
"188",1,0,0,0,0
"189",1,0,0,0,0
"190",1,0,0,0,0
"191",1,0,0,0,0
"192",0,0,0,0,1
"193",0,0,0,0,1
"194",0,0,0,0,1
"195",1,0,0,0,0
"196",1,0,0,0,0
"197",1,0,0,0,0
"198",1,0,0,0,0
"199",0,1,0,0,0
"200",0,1,0,0,0
"201",1,0,0,0,0
"202",0,1,0,0,0
"203",1,0,0,0,0
"204",0,1,0,0,0
"205",1,0,0,0,0
"206",0,1,0,0,0
"207",1,0,0,0,0
"208",0,1,0,0,0
"209",1,0,0,0,0
"210",1,0,0,0,0
"211",0,0,1,0,0
"212",0,1,0,0,0
"213",1,0,0,0,0
"214",1,0,0,0,0
"215",1,0,0,0,0
"216",1,0,0,0,0
"217",1,0,0,0,0
"218",1,0,0,0,0
"219",0,1,0,0,0
"220",0,1,0,0,0
"221",0,1,0,0,0
"222",0,1,0,0,0
"223",0,0,0,1,0
"224",0,0,0,1,0
"225",0,0,0,1,0
"226",0,0,0,0,1
"227",0,1,0,0,0
"228",0,1,0,0,0
"229",0,1,0,0,0
"230",0,1,0,0,0
"231",1,0,0,0,0
"232",1,0,0,0,0
"233",1,0,0,0,0
"234",1,0,0,0,0
"235",1,0,0,0,0
"236",0,0,0,0,1
"237",1,0,0,0,0
"238",1,0,0,0,0
"239",1,0,0,0,0
"240",0,0,0,0,1
"241",1,0,0,0,0
"242",1,0,0,0,0
"243",1,0,0,0,0
"244",1,0,0,0,0
"245",0,0,0,0,1
"246",1,0,0,0,0
"247",0,0,0,0,1
"248",0,0,0,0,1
"249",0,0,0,0,1
"250",1,0,0,0,0
"251",1,0,0,0,0
"252",1,0,0,0,0
"253",1,0,0,0,0
"254",1,0,0,0,0
"255",1,0,0,0,0
"256",1,0,0,0,0
"257",0,0,0,0,1
"258",0,0,0,0,1
"259",0,0,0,0,1
"260",1,0,0,0,0
"261",1,0,0,0,0
"262",1,0,0,0,0
"263",1,0,0,0,0
"264",0,1,0,0,0
"265",0,1,0,0,0
"266",1,0,0,0,0
"267",0,1,0,0,0
"268",1,0,0,0,0
"269",0,1,0,0,0
"270",1,0,0,0,0
"271",0,1,0,0,0
"272",1,0,0,0,0
"273",0,1,0,0,0
"274",1,0,0,0,0
"275",1,0,0,0,0
"276",0,0,1,0,0
"277",0,1,0,0,0
"278",1,0,0,0,0
"279",1,0,0,0,0
"280",1,0,0,0,0
"281",1,0,0,0,0
"282",1,0,0,0,0
"283",1,0,0,0,0
"284",0,1,0,0,0
"285",0,1,0,0,0
"286",0,1,0,0,0
"287",0,1,0,0,0
"288",0,0,0,1,0
"289",0,0,0,1,0
"290",0,0,0,1,0
"291",0,0,0,0,1
"292",0,1,0,0,0
"293",0,1,0,0,0
"294",0,1,0,0,0
"295",0,1,0,0,0
"296",1,0,0,0,0
"297",1,0,0,0,0
"298",1,0,0,0,0
"299",1,0,0,0,0
"300",1,0,0,0,0
"301",0,0,0,0,1
"302",1,0,0,0,0
"303",1,0,0,0,0
"304",1,0,0,0,0
"305",0,0,0,0,1
"306",1,0,0,0,0
"307",1,0,0,0,0
"308",1,0,0,0,0
"309",1,0,0,0,0
"310",0,0,0,0,1
"311",1,0,0,0,0
"312",0,0,0,0,1
"313",0,0,0,0,1
"314",0,0,0,0,1
"315",1,0,0,0,0
"316",1,0,0,0,0
"317",1,0,0,0,0
"318",1,0,0,0,0
"319",1,0,0,0,0
"320",1,0,0,0,0
"321",1,0,0,0,0
"322",0,0,0,0,1
"323",0,0,0,0,1
"324",0,0,0,0,1
"325",1,0,0,0,0
"326",1,0,0,0,0
"327",1,0,0,0,0
"328",1,0,0,0,0
"329",0,1,0,0,0
"330",0,1,0,0,0
"331",1,0,0,0,0
"332",0,1,0,0,0
"333",1,0,0,0,0
"334",0,1,0,0,0
"335",1,0,0,0,0
"336",0,1,0,0,0
"337",1,0,0,0,0
"338",0,1,0,0,0
"339",1,0,0,0,0
"340",1,0,0,0,0
"341",0,0,1,0,0
"342",0,1,0,0,0
"343",1,0,0,0,0
"344",1,0,0,0,0
"345",1,0,0,0,0
"346",1,0,0,0,0
"347",1,0,0,0,0
"348",1,0,0,0,0
"349",0,1,0,0,0
"350",0,1,0,0,0
"351",0,1,0,0,0
"352",0,1,0,0,0
"353",0,0,0,1,0
"354",0,0,0,1,0
"355",0,0,0,1,0
"356",0,0,0,0,1
"357",0,1,0,0,0
"358",0,1,0,0,0
"359",0,1,0,0,0
"360",0,1,0,0,0
"361",1,0,0,0,0
"362",1,0,0,0,0
"363",1,0,0,0,0
"364",1,0,0,0,0
"365",1,0,0,0,0
"366",0,0,0,0,1
"367",1,0,0,0,0
"368",1,0,0,0,0
"369",1,0,0,0,0
"370",0,0,0,0,1
"371",1,0,0,0,0
"372",1,0,0,0,0
"373",1,0,0,0,0
"374",1,0,0,0,0
"375",0,0,0,0,1
"376",1,0,0,0,0
"377",0,0,0,0,1
"378",0,0,0,0,1
"379",0,0,0,0,1
"380",1,0,0,0,0
"381",1,0,0,0,0
"382",1,0,0,0,0
"383",1,0,0,0,0
"384",1,0,0,0,0
"385",1,0,0,0,0
"386",1,0,0,0,0
"387",0,0,0,0,1
"388",0,0,0,0,1
"389",0,0,0,0,1
"390",1,0,0,0,0
"391",1,0,0,0,0
"392",1,0,0,0,0
"393",1,0,0,0,0
"394",0,1,0,0,0
"395",0,1,0,0,0
"396",1,0,0,0,0
"397",0,1,0,0,0
"398",1,0,0,0,0
"399",0,1,0,0,0
"400",1,0,0,0,0
"401",0,1,0,0,0
"402",1,0,0,0,0
"403",0,1,0,0,0
"404",1,0,0,0,0
"405",1,0,0,0,0
"406",0,0,1,0,0
"407",0,1,0,0,0
"408",1,0,0,0,0
"409",1,0,0,0,0
"410",1,0,0,0,0
"411",1,0,0,0,0
"412",1,0,0,0,0
"413",1,0,0,0,0
"414",0,1,0,0,0
"415",0,1,0,0,0
"416",0,1,0,0,0
"417",0,1,0,0,0
"418",0,0,0,1,0
"419",0,0,0,1,0
"420",0,0,0,1,0
"421",0,0,0,0,1
"422",0,1,0,0,0
"423",0,1,0,0,0
"424",0,1,0,0,0
"425",0,1,0,0,0
"426",1,0,0,0,0
"427",1,0,0,0,0
"428",1,0,0,0,0
"429",1,0,0,0,0
"430",1,0,0,0,0
"431",0,0,0,0,1
"432",1,0,0,0,0
"433",1,0,0,0,0
"434",1,0,0,0,0
"435",0,0,0,0,1
"436",1,0,0,0,0
"437",1,0,0,0,0
"438",1,0,0,0,0
"439",1,0,0,0,0
"440",0,0,0,0,1
"441",1,0,0,0,0
"442",0,0,0,0,1
"443",0,0,0,0,1
"444",0,0,0,0,1
"445",1,0,0,0,0
"446",1,0,0,0,0
"447",1,0,0,0,0
"448",1,0,0,0,0
"449",1,0,0,0,0
"450",1,0,0,0,0
"451",1,0,0,0,0
"452",0,0,0,0,1
"453",0,0,0,0,1
"454",0,0,0,0,1
"455",1,0,0,0,0
"456",1,0,0,0,0
"457",1,0,0,0,0
"458",1,0,0,0,0
"459",0,1,0,0,0
"460",0,1,0,0,0
"461",1,0,0,0,0
"462",0,1,0,0,0
"463",1,0,0,0,0
"464",0,1,0,0,0
"465",1,0,0,0,0
"466",0,1,0,0,0
"467",1,0,0,0,0
"468",0,1,0,0,0
"469",1,0,0,0,0
"470",1,0,0,0,0
"471",0,0,1,0,0
"472",0,1,0,0,0
"473",1,0,0,0,0
"474",1,0,0,0,0
"475",1,0,0,0,0
"476",1,0,0,0,0
"477",1,0,0,0,0
"478",1,0,0,0,0
"479",0,1,0,0,0
"480",0,1,0,0,0
"481",0,1,0,0,0
"482",0,1,0,0,0
"483",0,0,0,1,0
"484",0,0,0,1,0
"485",0,0,0,1,0
"486",0,0,0,0,1
"487",0,1,0,0,0
"488",0,1,0,0,0
"489",0,1,0,0,0
"490",0,1,0,0,0
"491",1,0,0,0,0
"492",1,0,0,0,0
"493",1,0,0,0,0
"494",1,0,0,0,0
"495",1,0,0,0,0
"496",0,0,0,0,1
"497",1,0,0,0,0
"498",1,0,0,0,0
"499",1,0,0,0,0
"500",0,0,0,0,1
"501",1,0,0,0,0
"502",1,0,0,0,0
"503",1,0,0,0,0
"504",1,0,0,0,0
"505",0,0,0,0,1
"506",1,0,0,0,0
"507",0,0,0,0,1
"508",0,0,0,0,1
"509",0,0,0,0,1
"510",1,0,0,0,0
"511",1,0,0,0,0
"512",1,0,0,0,0
"513",1,0,0,0,0
"514",1,0,0,0,0
"515",1,0,0,0,0
"516",1,0,0,0,0
"517",0,0,0,0,1
"518",0,0,0,0,1
"519",0,0,0,0,1
"520",1,0,0,0,0
"521",1,0,0,0,0
"522",1,0,0,0,0
"523",1,0,0,0,0
"524",0,1,0,0,0
"525",0,1,0,0,0
"526",1,0,0,0,0
"527",0,1,0,0,0
"528",1,0,0,0,0
"529",0,1,0,0,0
"530",1,0,0,0,0
"531",0,1,0,0,0
"532",1,0,0,0,0
"533",0,1,0,0,0
"534",1,0,0,0,0
"535",1,0,0,0,0
"536",0,0,1,0,0
"537",0,1,0,0,0
"538",1,0,0,0,0
"539",1,0,0,0,0
"540",1,0,0,0,0
"541",1,0,0,0,0
"542",1,0,0,0,0
"543",1,0,0,0,0
"544",0,1,0,0,0
"545",0,1,0,0,0
"546",0,1,0,0,0
"547",0,1,0,0,0
"548",0,0,0,1,0
"549",0,0,0,1,0
"550",0,0,0,1,0
"551",0,0,0,0,1
"552",0,1,0,0,0
"553",0,1,0,0,0
"554",0,1,0,0,0
"555",0,1,0,0,0
"556",1,0,0,0,0
"557",1,0,0,0,0
"558",1,0,0,0,0
"559",1,0,0,0,0
"560",1,0,0,0,0
"561",0,0,0,0,1
"562",1,0,0,0,0
"563",1,0,0,0,0
"564",1,0,0,0,0
"565",0,0,0,0,1
"566",1,0,0,0,0
"567",1,0,0,0,0
"568",1,0,0,0,0
"569",1,0,0,0,0
"570",0,0,0,0,1
"571",1,0,0,0,0
"572",0,0,0,0,1
"573",0,0,0,0,1
"574",0,0,0,0,1
"575",1,0,0,0,0
"576",1,0,0,0,0
"577",1,0,0,0,0
"578",1,0,0,0,0
"579",1,0,0,0,0
"580",1,0,0,0,0
"581",1,0,0,0,0
"582",0,0,0,0,1
"583",0,0,0,0,1
"584",0,0,0,0,1
"585",1,0,0,0,0
"586",1,0,0,0,0
"587",1,0,0,0,0
"588",1,0,0,0,0
"589",0,1,0,0,0
"590",0,1,0,0,0
"591",1,0,0,0,0
"592",0,1,0,0,0
"593",1,0,0,0,0
"594",0,1,0,0,0
"595",1,0,0,0,0
"596",0,1,0,0,0
"597",1,0,0,0,0
"598",0,1,0,0,0
"599",1,0,0,0,0
"600",1,0,0,0,0
"601",0,0,1,0,0
"602",0,1,0,0,0
"603",1,0,0,0,0
"604",1,0,0,0,0
"605",1,0,0,0,0
"606",1,0,0,0,0
"607",1,0,0,0,0
"608",1,0,0,0,0
"609",0,1,0,0,0
"610",0,1,0,0,0
"611",0,1,0,0,0
"612",0,1,0,0,0
"613",0,0,0,1,0
"614",0,0,0,1,0
"615",0,0,0,1,0
"616",0,0,0,0,1
"617",0,1,0,0,0
"618",0,1,0,0,0
"619",0,1,0,0,0
"620",0,1,0,0,0
"621",1,0,0,0,0
"622",1,0,0,0,0
"623",1,0,0,0,0
"624",1,0,0,0,0
"625",1,0,0,0,0
"626",0,0,0,0,1
"627",1,0,0,0,0
"628",1,0,0,0,0
"629",1,0,0,0,0
"630",0,0,0,0,1
"631",1,0,0,0,0
"632",1,0,0,0,0
"633",1,0,0,0,0
"634",1,0,0,0,0
"635",0,0,0,0,1
"636",1,0,0,0,0
"637",0,0,0,0,1
"638",0,0,0,0,1
"639",0,0,0,0,1
"640",1,0,0,0,0
"641",1,0,0,0,0
"642",1,0,0,0,0
"643",1,0,0,0,0
"644",1,0,0,0,0
"645",1,0,0,0,0
"646",1,0,0,0,0
"647",0,0,0,0,1
"648",0,0,0,0,1
"649",0,0,0,0,1
"650",1,0,0,0,0
"651",1,0,0,0,0
"652",1,0,0,0,0
"653",1,0,0,0,0
"654",0,1,0,0,0
"655",0,1,0,0,0
"656",1,0,0,0,0
"657",0,1,0,0,0
"658",1,0,0,0,0
"659",0,1,0,0,0
"660",1,0,0,0,0
"661",0,1,0,0,0
"662",1,0,0,0,0
"663",0,1,0,0,0
"664",1,0,0,0,0
"665",1,0,0,0,0
"666",0,0,1,0,0
"667",0,1,0,0,0
"668",1,0,0,0,0
"669",1,0,0,0,0
"670",1,0,0,0,0
"671",1,0,0,0,0
"672",1,0,0,0,0
"673",1,0,0,0,0
"674",0,1,0,0,0
"675",0,1,0,0,0
"676",0,1,0,0,0
"677",0,1,0,0,0
"678",0,0,0,1,0
"679",0,0,0,1,0
"680",0,0,0,1,0
"681",0,0,0,0,1
"682",0,1,0,0,0
"683",0,1,0,0,0
"684",0,1,0,0,0
"685",0,1,0,0,0
"686",1,0,0,0,0
"687",1,0,0,0,0
"688",1,0,0,0,0
"689",1,0,0,0,0
"690",1,0,0,0,0
"691",0,0,0,0,1
"692",1,0,0,0,0
"693",1,0,0,0,0
"694",1,0,0,0,0
"695",0,0,0,0,1
"696",1,0,0,0,0
"697",1,0,0,0,0
"698",1,0,0,0,0
"699",1,0,0,0,0
"700",0,0,0,0,1
"701",1,0,0,0,0
"702",0,0,0,0,1
"703",0,0,0,0,1
"704",0,0,0,0,1
"705",1,0,0,0,0
"706",1,0,0,0,0
"707",1,0,0,0,0
"708",1,0,0,0,0
"709",1,0,0,0,0
"710",1,0,0,0,0
"711",1,0,0,0,0
"712",0,0,0,0,1
"713",0,0,0,0,1
"714",0,0,0,0,1
"715",1,0,0,0,0
"716",1,0,0,0,0
"717",1,0,0,0,0
"718",1,0,0,0,0
"719",0,1,0,0,0
"720",0,1,0,0,0
"721",1,0,0,0,0
"722",0,1,0,0,0
"723",1,0,0,0,0
"724",0,1,0,0,0
"725",1,0,0,0,0
"726",0,1,0,0,0
"727",1,0,0,0,0
"728",0,1,0,0,0
"729",1,0,0,0,0
"730",1,0,0,0,0
"731",0,0,1,0,0
"732",0,1,0,0,0
"733",1,0,0,0,0
"734",1,0,0,0,0
"735",1,0,0,0,0
"736",1,0,0,0,0
"737",1,0,0,0,0
"738",1,0,0,0,0
"739",0,1,0,0,0
"740",0,1,0,0,0
"741",0,1,0,0,0
"742",0,1,0,0,0
"743",0,0,0,1,0
"744",0,0,0,1,0
"745",0,0,0,1,0
"746",0,0,0,0,1
"747",0,1,0,0,0
"748",0,1,0,0,0
"749",0,1,0,0,0
"750",0,1,0,0,0
"751",1,0,0,0,0
"752",1,0,0,0,0
"753",1,0,0,0,0
"754",1,0,0,0,0
"755",1,0,0,0,0
"756",0,0,0,0,1
"757",1,0,0,0,0
"758",1,0,0,0,0
"759",1,0,0,0,0
"760",0,0,0,0,1
"761",1,0,0,0,0
"762",1,0,0,0,0
"763",1,0,0,0,0
"764",1,0,0,0,0
"765",0,0,0,0,1
"766",1,0,0,0,0
"767",0,0,0,0,1
"768",0,0,0,0,1
"769",0,0,0,0,1
"770",1,0,0,0,0
"771",1,0,0,0,0
"772",1,0,0,0,0
"773",1,0,0,0,0
"774",1,0,0,0,0
"775",1,0,0,0,0
"776",1,0,0,0,0
"777",0,0,0,0,1
"778",0,0,0,0,1
"779",0,0,0,0,1
"780",1,0,0,0,0
"781",1,0,0,0,0
"782",1,0,0,0,0
"783",1,0,0,0,0
"784",0,1,0,0,0
"785",0,1,0,0,0
"786",1,0,0,0,0
"787",0,1,0,0,0
"788",1,0,0,0,0
"789",0,1,0,0,0
"790",1,0,0,0,0
"791",0,1,0,0,0
"792",1,0,0,0,0
"793",0,1,0,0,0
"794",1,0,0,0,0
"795",1,0,0,0,0
"796",0,0,1,0,0
"797",0,1,0,0,0
"798",1,0,0,0,0
"799",1,0,0,0,0
"800",1,0,0,0,0
"801",1,0,0,0,0
"802",1,0,0,0,0
"803",1,0,0,0,0
"804",0,1,0,0,0
"805",0,1,0,0,0
"806",0,1,0,0,0
"807",0,1,0,0,0
"808",0,0,0,1,0
"809",0,0,0,1,0
"810",0,0,0,1,0
"811",0,0,0,0,1
"812",0,1,0,0,0
"813",0,1,0,0,0
"814",0,1,0,0,0
"815",0,1,0,0,0
"816",1,0,0,0,0
"817",1,0,0,0,0
"818",1,0,0,0,0
"819",1,0,0,0,0
"820",1,0,0,0,0
"821",0,0,0,0,1
"822",1,0,0,0,0
"823",1,0,0,0,0
"824",1,0,0,0,0
"825",0,0,0,0,1
"826",1,0,0,0,0
"827",1,0,0,0,0
"828",1,0,0,0,0
"829",1,0,0,0,0
"830",0,0,0,0,1
"831",1,0,0,0,0
"832",0,0,0,0,1
"833",0,0,0,0,1
"834",0,0,0,0,1
"835",1,0,0,0,0
"836",1,0,0,0,0
"837",1,0,0,0,0
"838",1,0,0,0,0
"839",1,0,0,0,0
"840",1,0,0,0,0
"841",1,0,0,0,0
"842",0,0,0,0,1
"843",0,0,0,0,1
"844",0,0,0,0,1
"845",1,0,0,0,0
"846",1,0,0,0,0
"847",1,0,0,0,0
"848",1,0,0,0,0
"849",0,1,0,0,0
"850",0,1,0,0,0
"851",1,0,0,0,0
"852",0,1,0,0,0
"853",1,0,0,0,0
"854",0,1,0,0,0
"855",1,0,0,0,0
"856",0,1,0,0,0
"857",1,0,0,0,0
"858",0,1,0,0,0
"859",1,0,0,0,0
"860",1,0,0,0,0
"861",0,0,1,0,0
"862",0,1,0,0,0
"863",1,0,0,0,0
"864",1,0,0,0,0
"865",1,0,0,0,0
"866",1,0,0,0,0
"867",1,0,0,0,0
"868",1,0,0,0,0
"869",0,1,0,0,0
"870",0,1,0,0,0
"871",0,1,0,0,0
"872",0,1,0,0,0
"873",0,0,0,1,0
"874",0,0,0,1,0
"875",0,0,0,1,0
"876",0,0,0,0,1
"877",0,1,0,0,0
"878",0,1,0,0,0
"879",0,1,0,0,0
"880",0,1,0,0,0
"881",1,0,0,0,0
"882",1,0,0,0,0
"883",1,0,0,0,0
"884",1,0,0,0,0
"885",1,0,0,0,0
"886",0,0,0,0,1
"887",1,0,0,0,0
"888",1,0,0,0,0
"889",1,0,0,0,0
"890",0,0,0,0,1
"891",1,0,0,0,0
"892",1,0,0,0,0
"893",1,0,0,0,0
"894",1,0,0,0,0
"895",0,0,0,0,1
"896",1,0,0,0,0
"897",0,0,0,0,1
"898",0,0,0,0,1
"899",0,0,0,0,1
"900",1,0,0,0,0
"901",1,0,0,0,0
"902",1,0,0,0,0
"903",1,0,0,0,0
"904",1,0,0,0,0
"905",1,0,0,0,0
"906",1,0,0,0,0
"907",0,0,0,0,1
"908",0,0,0,0,1
"909",0,0,0,0,1
"910",1,0,0,0,0
"911",1,0,0,0,0
"912",1,0,0,0,0
"913",1,0,0,0,0
"914",0,1,0,0,0
"915",0,1,0,0,0
"916",1,0,0,0,0
"917",0,1,0,0,0
"918",1,0,0,0,0
"919",0,1,0,0,0
"920",1,0,0,0,0
"921",0,1,0,0,0
"922",1,0,0,0,0
"923",0,1,0,0,0
"924",1,0,0,0,0
"925",1,0,0,0,0
"926",0,0,1,0,0
"927",0,1,0,0,0
"928",1,0,0,0,0
"929",1,0,0,0,0
"930",1,0,0,0,0
"931",1,0,0,0,0
"932",1,0,0,0,0
"933",1,0,0,0,0
"934",0,1,0,0,0
"935",0,1,0,0,0
"936",0,1,0,0,0
"937",0,1,0,0,0
"938",0,0,0,1,0
"939",0,0,0,1,0
"940",0,0,0,1,0
"941",0,0,0,0,1
"942",0,1,0,0,0
"943",0,1,0,0,0
"944",0,1,0,0,0
"945",0,1,0,0,0
"946",1,0,0,0,0
"947",1,0,0,0,0
"948",1,0,0,0,0
"949",1,0,0,0,0
"950",1,0,0,0,0
"951",0,0,0,0,1
"952",1,0,0,0,0
"953",1,0,0,0,0
"954",1,0,0,0,0
"955",0,0,0,0,1
"956",1,0,0,0,0
"957",1,0,0,0,0
"958",1,0,0,0,0
"959",1,0,0,0,0
"960",0,0,0,0,1
"961",1,0,0,0,0
"962",0,0,0,0,1
"963",0,0,0,0,1
"964",0,0,0,0,1
"965",1,0,0,0,0
"966",1,0,0,0,0
"967",1,0,0,0,0
"968",1,0,0,0,0
"969",1,0,0,0,0
"970",1,0,0,0,0
"971",1,0,0,0,0
"972",0,0,0,0,1
"973",0,0,0,0,1
"974",0,0,0,0,1
"975",1,0,0,0,0
"976",1,0,0,0,0
"977",1,0,0,0,0
"978",1,0,0,0,0
"979",0,1,0,0,0
"980",0,1,0,0,0
"981",1,0,0,0,0
"982",0,1,0,0,0
"983",1,0,0,0,0
"984",0,1,0,0,0
"985",1,0,0,0,0
"986",0,1,0,0,0
"987",1,0,0,0,0
"988",0,1,0,0,0
"989",1,0,0,0,0
"990",1,0,0,0,0
"991",0,0,1,0,0
"992",0,1,0,0,0
"993",1,0,0,0,0
"994",1,0,0,0,0
"995",1,0,0,0,0
"996",1,0,0,0,0
"997",1,0,0,0,0
"998",1,0,0,0,0
"999",0,1,0,0,0
"1000",0,1,0,0,0
"1001",0,1,0,0,0
"1002",0,1,0,0,0
"1003",0,0,0,1,0
"1004",0,0,0,1,0
"1005",0,0,0,1,0
"1006",0,0,0,0,1
"1007",0,1,0,0,0
"1008",0,1,0,0,0
"1009",0,1,0,0,0
"1010",0,1,0,0,0
"1011",1,0,0,0,0
"1012",1,0,0,0,0
"1013",1,0,0,0,0
"1014",1,0,0,0,0
"1015",1,0,0,0,0
"1016",0,0,0,0,1
"1017",1,0,0,0,0
"1018",1,0,0,0,0
"1019",1,0,0,0,0
"1020",0,0,0,0,1
"1021",1,0,0,0,0
"1022",1,0,0,0,0
"1023",1,0,0,0,0
"1024",1,0,0,0,0
"1025",0,0,0,0,1
"1026",1,0,0,0,0
"1027",0,0,0,0,1
"1028",0,0,0,0,1
"1029",0,0,0,0,1
"1030",1,0,0,0,0
"1031",1,0,0,0,0
"1032",1,0,0,0,0
"1033",1,0,0,0,0
"1034",1,0,0,0,0
"1035",1,0,0,0,0
"1036",1,0,0,0,0
"1037",0,0,0,0,1
"1038",0,0,0,0,1
"1039",0,0,0,0,1
"1040",1,0,0,0,0
"1041",1,0,0,0,0
"1042",1,0,0,0,0
"1043",1,0,0,0,0
"1044",0,1,0,0,0
"1045",0,1,0,0,0
"1046",1,0,0,0,0
"1047",0,1,0,0,0
"1048",1,0,0,0,0
"1049",0,1,0,0,0
"1050",1,0,0,0,0
"1051",0,1,0,0,0
"1052",1,0,0,0,0
"1053",0,1,0,0,0
"1054",1,0,0,0,0
"1055",1,0,0,0,0
"1056",0,0,1,0,0
"1057",0,1,0,0,0
"1058",1,0,0,0,0
"1059",1,0,0,0,0
"1060",1,0,0,0,0
"1061",1,0,0,0,0
"1062",1,0,0,0,0
"1063",1,0,0,0,0
"1064",0,1,0,0,0
"1065",0,1,0,0,0
"1066",0,1,0,0,0
